???"TABLE_NAME","TABLE_COMMENT"
"CLAIM_PARAMETER",""
"CLAIM_SYSTEM_ACTION_CODE",""
"CLAIM_TYPE",""
"CLASSIFICATION_CODE","Stores Classification Code Entries"
"CL_ALERT","Internal table. Core language services."
"CL_CLUSTER","Internal table. Core language services."
"CL_CONNECT_MODE",""
"CL_CONNECT_WHEN",""
"CL_CONTROL_FILE_FORMAT",""
"CL_CONTROL_FILE_OPTION",""
"CL_CONVERSATION","Internal table. Core language services."
"CL_CRON","Internal table. Core language services."
"CL_CRON_GROUP","Internal table. Core language services."
"CL_DATA_ENCODING",""
"CL_DATA_FORMAT",""
"CL_DATA_TRANSFER",""
"CL_DIRECTION",""
"CL_DISCONNECT_WHEN",""
"CL_DRIVER","Internal table. Core language services."
"CL_DRIVER_INTERCEPTOR","Internal table. Core language services."
"CL_ENABLE_OPTION",""
"CL_ENDPOINT","Internal table. Core language services."
"CL_ENDPOINT_EXT",""
"CL_ENDPOINT_QUEUE","Internal table. Core language services."
"CL_ENDPOINT_QUEUE_HISTORY","Internal table. Core language services."
"CL_ENDPOINT_STATUS_DETAIL","Holds Information about End Point Status Detail"
"CL_ENGINE","Internal table. Core language services."
"CL_ENGINE_CONFIG",""
"CL_ENGINE_GROUP","Internal table. Core language services."
"CL_ENGINE_GROUP_XREF","Internal table. Core language services."
"CL_EVENT_MASTER","Internal table. Core language services."
"CL_EVENT_PUBLICATION","Internal table. Core language services."
"CL_EVENT_SUBSCRIPTION","Internal table. Core language services."
"CL_EXTENDED_CONFIGURATION","Internal table. Core language services."
"CL_FAILOVER_TRACKING","Internal table. Core language services."
"CL_FRAMING_STYLE",""
"CL_FTP_CONNECT_MODE",""
"CL_HEARTBEAT_TYPE",""
"CL_HTTP_GROUP","Internal table. Core language services."
"CL_HTTP_HEADER","Internal table. Core language services."
"CL_INTERCEPTOR","Internal table. Core language services."
"CL_MACHINE","Internal table. Core language services."
"CL_MACHINE_XREF","Mapping data between CL_CLUSTER and CL_MACHINE"
"CL_MESSAGE","Internal table. Core language services."
"CL_MESSAGE_HISTORY","Internal table. Core language services."
"CL_MESSAGE_KEYS","Internal table. Core language services."
"CL_MESSAGE_KEYS_HISTORY","Internal table. Core language services."
"CL_MESSAGE_STATUS",""
"CL_PRIORITY",""
"CL_PROTOCOL",""
"CL_PROTOCOL_FILE","Internal table. Core language services."
"CL_PROTOCOL_FTP","Internal table. Core language services."
"CL_PROTOCOL_HTTP","Internal table. Core language services."
"CL_PROTOCOL_JMS",""
"CL_PROTOCOL_MQS","Internal table. Core language services."
"CL_PROTOCOL_RFID1","Internal table. Core language services."
"CL_PROTOCOL_TCP","Internal table. Core language services."
"CL_PROTOCOL_TCPMUX","Internal table. Core language services."
"CL_PROTOCOL_UDP","Internal table. Core language services."
"CL_SEQUENCE","Internal table. Core language services."
"CL_SERVER_CONFIG","Contains an entry for each DIF instance"
"CL_SERVER_TYPE",""
"CL_SIZE_ENCODING",""
"CL_SIZE_SCOPE",""
"CL_SOURCE_FILE_OPTION",""
"CL_STATUS",""
"CL_TRANSFER_TYPE",""
"CL_VOCO_CONFIG",""
"CM_DATA_LOAD_RUNS","* Cm Data Load Runs"
"CNFG_FRAME_MASTER","Internal table. Configuration tool."
"CNFG_SCRN_FRAME","Internal table. Configuration tool."
"CNFG_SCRN_MASTER","Internal table. Configuration tool."
"CNSTR_DTL",""
"CNSTR_GRP",""
"CNSTR_MULT_LOC",""
"CNSTR_RACK_LEVEL",""
"CNTR_TYPE",""
"CNT_INVN_DTL","Table used to store details of inventory counted. Couting process - Both Physical and Cycle count use this table"
"CNT_INVN_HDR","Table used to store details of inventory counted. Couting process - Both Physical and Cycle count use this table"
"CNT_INVN_SRL_NBR","Table used to store details of inventory counted with serial numbers. Couting process - Both Physical and Cycle count use this table"
"COGI_DETAIL",""
"COLM_MASTER","Internal reference table"
"COLOR_CODE_DTL",""
"COLOR_CODE_HDR",""
"COMMENT_TYPE",""
"COMPANY_OPT_ENGINE","list of the engines to which this shipper has access"
"COMPANY_PARAMETER",""
"COMPANY_REF",""
"COMPOSITE_SERVICE_ARGS",""
"COMPOSITE_SERVICE_REPOSITORY",""
"CONDITION_TYPE",""
"CONFIG_TOOL_DEPENDENT_STEPS","Contains a list of steps in the Configuration Wizards that are dependent upon the configuration contained in other steps"
"CONFIG_TOOL_DTL","Contains the steps contained in the Configuration Wizards"
"CONFIG_TOOL_HDR","Contains a list of Configuration Wizards"
"CONFIG_TOOL_PREF_ANSWER","Contains a list of Answers to Questions contains in the Configuration Wizards"
"CONFIG_TOOL_PREF_DISABLED_STEP","Contains information on steps that are marked as 'Not Required' depending on an answer provided in the Preferences section"
"CONFIG_TOOL_PREF_QUESTION","Contains a list of Questions contained in the Configuration Wizards"
"CONSTEMP_SCHED_EVENT","CONSTEMP_SCHED_EVENT"
"CONSTEMP_SCHED_EVENT_HISTORY","CONSTEMP SCHED EVENT HISTORY"
"CONSTRAINTS",""
"CONSTRAINT_FILTER_MIGR","Table to store old filter constraints that needed to be deleted as a part of the 2016 to 2017 slotting upgrade"
"CONS_ORDER_PATH","CONS_ORDER_PATH"
"CONS_REGION",""
"CONS_RUN","Routing Run IDs"
"CONS_RUN_DTL","Routing Run Details are added"
"CONS_RUN_DTL_TYPE","CONS_RUN_DTL_TYPE"
"CONS_TEMPLATE"," Routing Run Templates created"
"CONTACT_FILTER_MAP",""
"CONTAINER_TYPE",""
"CONTEXT_REPO","maintains the context information of SOAP calls"
"COST_TYPE_CBO",""
"CREATION_TYPE",""
"CREDIT_CARD_TYPE","CREDIT CARD TYPE reference table"
"CRON_JOB","This table takes care of running batch jobs in back end using specific commands and input parameters"
"CRON_JOB_HISTORY","This table is used to track History of Jobs run through CRON_JOB table"
"CROSSREF",""
"CS_EXECUTION_CONFIG_CONTEXT",""
"CS_EXE_NOTIFICATION_PARAMS",""
"CUSTOMER_CONTACT",""
"CUSTOMER_CREDIT_LIMIT",""
"CUSTOMER_DOC_DELIVERY_DTL",""
"CUSTOMER_LETTER_OF_CREDIT",""
"CUSTOMIZE_VIEW_TYPE",""
"CUSTOM_BEHAVIORAL_DETAIL",""
"CUSTOM_BEHAVIORAL_VIEW",""
"CUSTOM_BINDING_DETAILS",""
"CUSTOM_DISPLAY",""
"CUSTOM_DISPLAY_DATATYPE",""
"CUSTOM_DISPLAY_DETAIL",""
"CUSTOM_DISPLAY_FIELD",""
"CUSTOM_DISPLAY_FIELD_ATTRIB",""
"CUSTOM_DISPLAY_FIELD_PERMIS",""
"CUSTOM_DISPLAY_OPT_TABLES",""
"CUSTOM_DISPLAY_TYPE",""
"CUSTOM_FIELD","This TABLE holds THE DATA related TO a custom field IN THE panel associated WITH CUSTOM_PANEL_ID"
"CUSTOM_FILTER_LAYOUT",""
"CUSTOM_FRAGMENT","This TABLE holds THE DATA related TO a custom page fragment IN THE PARENT page fragment/page associated WITH PARENT_CUSTOM_FRAGMENT_ID/ CUSTOM_PAGE_ID"
"CUSTOM_LISTENER",""
"CUSTOM_OPERATOR","Internal reference table"
"CUSTOM_OPERATOR_TYPE","Internal reference table"
"CUSTOM_PAGE","This TABLE holds THE DATA related TO a custom page"
"CUSTOM_PAGE_INFO","This TABLE holds THE information about THE page"
"CUSTOM_PANEL","This TABLE holds THE DATA related TO a custom panel IN THE PARENT panel/page fragment/page associated WITH PARENT_CUSTOM_PANEL_ID / CUSTOM_FRAGMENT_ID / CUSTOM_PAGE_ID"
"CUSTOM_QUICK_FILTER_LAYOUT",""
"CUSTOM_REPORT_FILTER_LAYOUT","CUSTOM_REPORT_FILTER_LAYOUT table denotes an attribute for a report type (see REPORT_DEF_ID column)."
"CUSTOM_STYLE_VIEW",""
"CUSTOM_USER_ROLE_MAPPING",""
"CUSTOM_VIEW_UIATTR",""
"CUSTOM_VIEW_UIATTR_LOG","Internal reference table"
"CUSTOM_WINDOW_FORMAT","Table describes any customized views of standard PkMS GUI forms"
"CUST_INV_SCHED_CONFIG","* Cust Inv Sched Config"
"CUST_INV_SCHED_CONFIG_DTL","* Cust Inv Sched Config Dtl"
"CW",""
"CYCLE_COUNT_TRIG","Predefined cycle count triggers are stored here. Cycle count trigger codes are used to initiate cycle counts on suspect locations."
"C_ASN",""
"C_ASN_ATTRIBUTE",""
"C_ASN_DETAIL",""
"C_ASN_NOTE",""
"C_ASRS_STATUS",""
"C_CARTON_DTL",""
"C_CARTON_HDR",""
"C_GSP_NBR_TRKG",""
"C_GSP_NBR_TRKG_BAK",""
