???"TABLE_NAME","TABLE_COMMENT"
"E_DAY_CODE","Stores day codes"
"E_DEPT","Stores department codes"
"E_DTL_CRIT_MSG_LOG","Table not being used"
"E_DYN_ACT","Dynamic activity"
"E_DYN_ACT_RULE","To create rule for Dynamic Activity"
"E_DYN_ACT_RULE_CONDITION","To give the condition and statements for dynamic activity rule"
"E_ELM","Stores elements"
"E_ELM_CRIT","Stores element criteria assignment"
"E_ELM_FCT","Stores element factor assignment"
"E_ELM_FCT_CRIT","Stores element factor-criteria assignment"
"E_ELM_HIST","Stores elements"
"E_ELM_PFD","Stores element pf&d assingment"
"E_ELS_LAP","Table for storing each observation details"
"E_ELS_NOTES","Table for storing work standard observation notes"
"E_ELS_VALIDATE","Table for storing work standard values"
"E_EMP_ABSENT","Stores employee absence period information"
"E_EMP_DTL","Stores employee status records"
"E_EMP_HDR","Table for storing Employee images"
"E_EMP_INC","Stores employee incentive pay information"
"E_EMP_INC_PAY","Stores employee incentive pay configuration"
"E_EMP_JF_WORK","Used for tracking employee performance goal by job function"
"E_EMP_JF_WORK_DTL","Used for tracking employee performance goal by job function"
"E_EMP_METRICS","This stores the employee and the list of associated metrics for which the employee is subscribed."
"E_EMP_METRIC_DTL","Employee Scorecard data"
"E_EMP_METRIC_HDR","Employee scorecard Metric names with threshold values"
"E_EMP_PAY","Stores employee payroll information"
"E_EMP_PAY_OVERRIDE","Stores employee pay override information"
"E_EMP_PERF_GOAL","Stores employee performance goals"
"E_EMP_PERF_SMRY","Stores employee performance summary information by clock in/out sessions"
"E_EMP_REFLECT_STD","Stores employee reflective standard assignment"
"E_EMP_REFLECT_STD_CONFIG","Stores employee reflective standard configuration"
"E_EMP_SAFE","Stores employee safety information"
"E_EMP_STAT_CODE","Stores employee status code configuration"
"E_EMP_SUBSCRIPTION_LOG","This is a history table that stores all the subscription and un-subscription requests along with the notification information that are sent to an employee as an audit information"
"E_EMP_TRAIN_OVERRIDE","Stores employee training details"
"E_EMP_WHSEDAY","Table not being used"
"E_ENGINE_OUTPUT_MSG","Stores 535 messages"
"E_ERROR_LOG","Stores error logs"
"E_ERROR_LOG_DTL","Table not being used"
"E_EVNT_ADJ_CODE","Stores event adjustment codes"
"E_EVNT_ADJ_SMRY","Stores event adjustment summary header"
"E_EVNT_ADJ_SMRY_DTL","Stores event adjustment summary details"
"E_EVNT_CTGRY","Stores event category configuration"
"E_EVNT_SMRY_ELM_DTL","Stores element level detail for event messages"
"E_EVNT_SMRY_HDR","Stores event summary for all incoming events for employees"
"E_EVNT_STAT_CODE","Stores the different event status codes"
"E_EVNT_TEMPL_ACT","Stores activities selected for the event template"
"E_EVNT_TEMPL_CRIT","Stores criteria for the activities selected for the event template"
"E_EVNT_TEMPL_HDR","Stores event template header"
"E_EVNT_TEMPL_UOM","Stores UOMs for the activities selected for the event template"
"E_FAC_PERF_GOAL","Stores facility performance goals"
"E_FCT","Stores factor values"
"E_FCT_CRIT","Stores factor criteria assignment"
"E_FORECAST_PROC_ZONE","Stores forecast template UOM and job function process zone configuration for Labor Forecasting"
"E_FORECAST_PROC_ZONE_DTL","Stores forecast template process zone configuration detail for Labor Forecasting "
"E_FORECAST_RESULT_DTL","Stores the Labor Forecast result detail level information"
"E_FORECAST_RESULT_HDR","Stores the Labor Forecast result header level information"
"E_FORECAST_TEMPLATE","Stores forecast template configuration for Labor Forecasting "
"E_FORECAST_TEMPLATE_DAYS","Stores forecast template configuration for Labor Forecasting for specific forecast dates"
"E_FORECAST_TEMPLATE_EMP_STATUS","Stores eligible employee statuses selected from the Labor Forecast template"
"E_FORECAST_TEMPLATE_SHIFTS","Stores forecast template configuration for Labor Forecasting for specific shifts"
"E_FORECAST_WORKFLOW","Stores workflow configuration header for Labor Forecasting "
"E_FORECAST_WORKFLOW_DTL","Stores workflow configuration detail for Labor Forecasting "
"E_FOUR_WALL","Stores four wall data"
"E_HDR_CRIT_MSG_LOG","Table not being used"
"E_HIST_TEMPL","Stores configured history templates"
"E_HIST_TEMPL_DATES","Stores the history dates calculated from the templates by the batch process"
"E_HIST_TEMPL_DAY","Stores the weekdays assigned to Forecast history template"
"E_HIST_TEMPL_SHIFT","Stores the shifts assigned to Forecast history template "
"E_HIST_THRUPUT_GOAL","Table to store Historical Throughput Goal Calculation Batch"
"E_HNDLG_ATTR","Stores handling attribute values"
"E_INC_CODE","Stores incentive codes"
"E_INC_CODE_JF","Stores job functions assigned to an incentive code.  "
"E_INC_CODE_LAB_TYPE","Stores labor types assigned to an incentive code"
"E_INC_CODE_RULE","Stores incentive code rule numbers and their status as well as the Pay Calculation Name "
"E_INTERFACE","Stores outbound interface configuration"
"E_INTERM_EMP","Stores employee status records that failed to load into LM during the bridge process"
"E_INTERM_EMP_INC_PAY","Stores payroll records that failed to be exported during outbound payroll bridge"
"E_INTERM_EMP_PAY","Stores incentive records that failed to be exported during outbound payroll bridge"
"E_INTERM_HNDLG_ATTR","Table not being used"
"E_INTERM_LOCN","Table not being used"
"E_INTERM_QA","Stores quality audit records that failed to load into LM during ther bridge process"
"E_INTERM_TA","Stores time and attendance records that failed to load into LM during ther bridge process"
"E_JOB_FUNCTION","Stores job function values"
"E_JOB_FUNCTION_ROLE","Stores job function role association - used for Labor Scheduling"
"E_JOB_FUNC_PERF_GOAL","Stores performance goal by job function"
"E_JOB_FUNC_QA_REASON","Stores job function QA reason code assignment"
"E_LABOR_TYPE_CODE","Stores the labor type codes"
"E_MANUAL_ENTRY","Table not being used"
"E_METRIC_CONFIGURATION","This stores all of the metric configuration that are defined in the system"
"E_METRIC_IMPLEMENTATION","This stores the different types of implementation that are used to calculate the metric. This is referenced in the E_METRIC_CONFIGURATION and used when configuring the metrics."
"E_MILESTONE","Stores milestone codes"
"E_MILESTONE_EMP","Stores milestone employee assignment"
"E_MILESTONE_TEAM","Stores milestone team assignment"
"E_MONITOR_GRP","Stores the monitor groups"
"E_MONITOR_SMRY","Stores monitoring summary data"
"E_MONITOR_WORKFLOW_ACT","Stores the activity and UOM level information for the monitoring workflow"
"E_MSRMNT","Stores unit of measures"
"E_MSRMNT_RULE","Stores UOM rules"
"E_MSRMNT_RULE_CALC","Stores UOM rule statement"
"E_MSRMNT_RULE_CONDITION","Stores UOM rule condition"
"E_OBS_COACH","Table for storing Observation Coaching Types"
"E_OBS_EMAIL_TEMPL","Stores the observation management email template content"
"E_OBS_INT","Table for storing Observation Interaction Types"
"E_OBS_MGMT","Stores the records that need observation and that have been observed"
"E_OBS_MGMT_DOC","Holds details of Observation Management document"
"E_OBS_MGMT_DOC_ANS","Answers  Observation Management for questions"
"E_OBS_MGMT_QUESTION","Observation Management Questions."
"E_OPS_CODE","Stores operation codes"
"E_OPS_CODE_SPVSR","Stores supervisor operation codes assignment"
"E_PAY_CALC_GRP","Stores All group options selected while creating pay or incentive conditions"
"E_PAY_DUR","Stores payroll duration"
"E_PAY_RATE","Stores pay rates"
"E_PAY_RATE_CALC_NAME_DTL","IBP module uses this table to store the Pay rate Conditions"
"E_PAY_RATE_CALC_NAME_HDR","IBP module uses this table to store the Pay rate Conditions"
"E_PAY_RATE_DTL","Stores pay rate detail information"
"E_PAY_RATE_RULE","Stores rules to follow for the given pay rate detail when calculating base pay."
"E_PAY_SCALE","Stores pay scales"
"E_PAY_TYPE","Stores pay types"
"E_PFD_DTL","Stores pf&d code details"
"E_PFD_HDR","Stores pf&d codes"
"E_PKT_HDR","Table not being used"
"E_PLAN_DTL","Stores different transactions setup for a Labor plan and the rule and workflow templates tied to each transaction."
"E_PLAN_HDR","Stores Labor Plan header information "
"E_PLAN_RESULTS","Stores results of running a Labor Plan grouped by Job function or level"
"E_PLAN_RULE_CONDITION","Stores details of the conditions for each Labor Plan rule."
"E_PLAN_RULE_HDR","Stores the rules configured as part of a Labor Plan. "
"E_PLAN_TEMPLATE_DTL","Stores different transactions setup for the Labor Plan template and the rule and workflow templates tied to each transaction"
"E_PLAN_TEMPLATE_HDR","Stores different transactions setup for the Labor Plan template and the rule and workflow templates tied to each transaction"
"E_PLAN_TRANSACTION_ACT","Stores the activity and UOM level information after the Labor Plan runs through the workflow."
"E_PLAN_TRANSACTION_ACT_ZONE","Stores the activity, UOM and zone level information after the Labor Plan runs through the workflow"
"E_PLAN_TRANSACTION_GRP","Stores Labor Plan estimation at group level"
"E_PLAN_TRANSACTION_HDR","Stores the actual transaction values (Orders and ASNs) that will be considered to calculate the workload of the Labor Plan."
"E_PLAN_WORKFLOW_GRP","Stores the different workflow groups configured for the Labor Plan"
"E_PLAN_WORKFLOW_HDR","Stores the workflows configured as part of a Labor Plan"
"E_PLAN_WORKFLOW_UOM","Stores the different UOMs selected for a workflow group within a Labor Plan"
"E_PROC_LOCK_DTL","Stores the details of jobs that ran for all batch processes"
"E_PROC_LOCK_HDR","Stores list of batch processes"
"E_PROC_LOCK_SCHED","Stores scheduled batch process information"
"E_PROC_ZONE","Stores process zones"
"E_PROC_ZONE_LOCN_RANGE","Stores process zone - location range configuration"
"E_PROC_ZONE_TEMPL","Stores process zone templates"
"E_PURGE_DTL","Stores details of tables to be purged for a given purge module"
"E_QA","Stores Quality Audit information by employee and team and total qty audited"
"E_QA_DTL","Stores details of Quality Audit information by QA reason code"
"E_QA_REASON","Stores Quality Audit reason codes"
"E_QA_SMRY","Store Quality Audit summary information"
"E_REFLECT_STD","Stores reflective standard groups"
"E_REFLECT_STD_DTL","Stores a reflective standards group?s detail records selected for a source group type"
"E_REFLECT_STD_GROUP_SMRY","Stores earned minutes, total time, approved and scheduled indirect labor time and event adjustments for all employees included in each reflective standards source group type."
"E_REFLECT_STD_SOURCE_SMRY","stores earned minutes, total time, approved and scheduled indirect labor time and event adjustments for each reflective standards source group.  "
"E_REPROCESS_INFO","Basic infrastructure changes for decoupling events"
"E_RSG_REPROCESS","Stores reflective standard batch process reprocess status"
"E_RULE_TEMPLATE_CONDITION","Stores Labor Plan rule template conditions"
"E_RULE_TEMPLATE_HDR","Stores Labor Plan rule template header information ? rule type, transaction type, template name"
"E_SAFE_ANNUAL","Stores annual safety data"
"E_SAFE_CODE","Stores safety codes"
"E_SAFE_SMRY","Stores summary of safety information"
"E_SCHEDULER","Last grabbed information will be stored in this table"
"E_SCHEDULE_ASGMNT","Stores Labor Schedule result detail assignment information"
"E_SCHEDULE_RMNG","Stores Labor Schedule remaining workloads that have not been scheduled."
"E_SCHEDULE_RSLT_HDR","Stores Labor Schedule result detail information"
"E_SCHEDULE_RSLT_SMRY","Stores Labor Schedule result summary information"
"E_SCHEDULE_TEMPLATE","Sores Labor Scheduling templates"
"E_SHIFT","Stores warehouse shfts"
"E_SHIFT_DAYS","Stores shift day assignment"
"E_SHIFT_DTL","Stores specific breaks for the days of the shift"
"E_SHIFT_EMP","Stores employee shift assignment"
"E_SIMULATION_ADJ_LEVER","Table for simulation adjustment levers"
"E_SIMULATION_COND","Used in Simulation.  It is like a temp table, after copying the list of tables to new warehouse then we are deleting this table data."
"E_SIMULATION_ELM_SMRY","Simaultion summary for elements"
"E_SIMULATION_METRIC","Simulation metrics"
"E_SIMULATION_METRIC_PORTLETS","Simulation Portlets"
"E_SIMULATION_SMRY","Simualtion Summary table"
"E_SIMULATION_TABLES","Cofiguration table for specifying tables need to be copied during simulation process"
"E_SIMULATION_TABLES_TRACK","Table to track Copy process of Simulation"
"E_SIMULATION_VHCL_DTL","Simulation Vehicle  parameters."
"E_SIMULATION_VHCL_SMRY","Simaultion summary for vehicles"
"E_SIMULATION_WHSE","Table to track and define new Simulation"
"E_SLOT_TYPE","Stores slot types"
"E_SUBSYSTEM","Last grabbed information will be stored in this table"
"E_TEAM_EMP","Stores employee team assignment"
"E_TEAM_EMP_CONFIG","Stores employee team configuration"
"E_TEAM_EMP_DTL","Stores employee team assignment based on team composition changes"
"E_TEAM_EMP_SMRY","Stores employee team standard group performance summary "
"E_TEAM_REPROCESS","Stores reprocess information for team standard batch process"
"E_TEAM_STD","Stores team standard groups"
"E_TEAM_STD_DTL","Stores team standard groups details"
"E_TEAM_STD_SMRY","Stores team standard group performance summary"
"E_THRUPUT_HIST","Stores historical throughput data "
"E_THRUPUT_SMRY","Stores throughput summary information"
"E_THRUPUT_SMRY_DTL","Stores throughput summary detail information by UOM"
"E_TIME_WINDOW","Stores Labor Scheduling time windows"
"E_TIME_WINDOW_ASGMNT","Stores Labor Scheduling job function time window assignment"
"E_TIME_WINDOW_DTL","Stores Labor Scheduling time window detail information "
"E_TRVL_AISLE","Stores travel aisles"
"E_UNIT_PICK","Used for SAM Calculation"
"E_VHCL","Stores Labor specific vehicle information "
"E_VHCL_AISLE_DIR","Stores information specific to vehicle aisle direction"
"E_VHCL_WHSE","Stores vehicle information by warehouse"
"E_VHCL_ZONE_TIME","Sores vehicle zone time information"
"E_WHSE_DTL","Stores warehouse level miscellaneous fields as name value pairs"
"E_WMS_EVNT_MSG","Stores event messages coming into Labor from Wmi and stand alone customers"
"E_WMS_EVNT_MSG_DTL","Stores event message details coming into Labor from Wmi and stand alone customers"
"E_WORKFLOW_TEMPLATE_GRP","Stores groups associated with a Labor Plan Workflow template"
"E_WORKFLOW_TEMPLATE_HDR","Stores header information of the Labor Plan workflow template ? template name, transaction type, etc"
"E_WORKFLOW_TEMPLATE_UOM","Stores UOMs selected for a Labor Plan workflow template."
"E_ZONE_MSG_LOG","Stores event messages information by zones"
"E_ZONE_TRAN_DATA","Stores Labor Monitoring event message information by zones"
"FACILITY_REF",""
"FEASIBILITY_ATTRIBUTE","Feasibility Attribute Configuration"
"FEDEX_ACC_OPT_DYNSURGE_MAP","Table to store Static Data Map for FedEx Accessorial Option Group & Dynamic surcharge field in Transaction 120"
"FEDEX_LPN","* Fedex Lpn"
"FEDEX_SERVICE_LEVEL","* Fedex Service Level"
"FEDEX_SERVICE_LEVEL_MAP","* Fedex Service Level Map"
"FEDEX_TRAN","* Fedex Tran"
"FILTER",""
"FILTER_DETAIL",""
"FILTER_FIELD_MASTER",""
"FILTER_FORMAT",""
"FILTER_FORMAT_DETAIL",""
"FILTER_FROM_CLAUSE",""
"FILTER_GROUPBY_DETAIL",""
"FILTER_GROUPBY_LAYOUT",""
"FILTER_GROUP_BY",""
"FILTER_GROUP_DEFINITION",""
"FILTER_LAYOUT",""
"FILTER_OBJECT",""
"FILTER_OBJECT_MAPPING",""
"FILTER_ORDERBY_DETAIL",""
"FILTER_ORDERBY_LAYOUT",""
"FILTER_SCREEN_TYPE",""
"FILTER_SLOT_ITEM",""
"FORECAST",""
"FREQUENCY_TYPE","* Frequency Type"
"FROZN_INVN_CONFIG","Table used to store details of inventory count configuration Couting process - Both Physical and Cycle count use this table"
"FROZN_INVN_DTL","Table used to store details of inventory counted. Couting process - Both Physical and Cycle count use this table"
"FROZN_INVN_HDR","Table used to store details of inventory counted. Couting process - Both Physical and Cycle count use this table"
"FROZN_INVN_SRL_NBR","Table used to store details of inventory counted with serial numbers. Couting process - Both Physical and Cycle count use this table"
"FTP_LISTENER",""
"FUEL_FEED_URL_MAP","Fuel Field URL Mapping"
"FULFILL_MODE","*Defines different Order Fulfillment modes"
"GEN605_LPN_CATCH_WT_GTT",""
"GEN605_LPN_LOCK_GTT",""
"GEN605_PIX_TRAN_GTT",""
"GEN605_PKT_DTL_GTT",""
"GEN605_RUN_DIFF","Table to support a new functionality to compare 2 605 runs"
"GEN605_SKU_ATTR_GTT",""
"GEN605_SKU_GTT",""
"GEN605_SKU_INVN_DTL_GTT",""
"GEN605_SRL_NBR_TRACK_GTT",""
"GEN605_WM_INVENTORY_GTT",""
"GRAPHICAL_YARD_CONFIGURATION","For mapping colors to the yard objects in the graphical yard view"
"GRAPH_ATTR","Attribute table to store the properties and other attributes of a graph."
"GRP_CAT_CODE",""
"GTMP_ARCH_ID_LIST",""
"GTMP_ARCH_LPN_IDS",""
"GTMP_ARCH_ORDER_IDS",""
"GTMP_ARCH_SHIP_IDS",""
"GTMP_PURGE_ORDERS","Table used for orders purge"
"G_TMP_ORDER_LINE_ITEM",""
"G_TMP_ORDER_LINE_ITEM_SIZE",""
"G_TMP_ORDER_SPLIT_SIZE",""
"G_TMP_PKT_DTL",""
"G_T_TAB","Table not being used"
"HANDLER","*Defines different types of Handlers like Carrier / Lumper / Stop Owner etc"
"HANDLING_ATTR_DTL","Defines labor item handling attribute criteria - defines weight/volume characteristics for each handling attribute defined"
"HANDLING_ATTR_HDR","Defines labor item handling attribute criteria - defines weight/volume characteristics for each handling attribute defined"
"HAVES_NEEDS",""
"HAVES_RESULTS_DTL",""
"HAZMAT","Not Used."
"HAZMAT_FEDEX_GND"," Table to include Hazmat Classes for Fedex"
"HAZMAT_UPS_DOM"," Table to include Hazmat Classes for UPS Domestic"
"HAZMAT_UPS_INTL"," Table to include Hazmat Classes for UPS International"
"HIERARCHY_DEFINITIONS","Store definitions for domain hierarchy framework objects"
"HIERARCHY_LEVELS","Defines the set of Levels and associated metadata for a given Hierarchy"
"HIERARCHY_NODES","The nodes of a particular Hierarchy Level and the links to their parent nodes (if any)."
"HIERARCHY_TYPES","Contains hierarchy types"
"HISTORY_VALUE_MAP",""
"HN_FAILURE",""
"HN_RACK_TYPES",""
"HN_RANGES",""
"HN_RESULTS_HDR",""
"HOUR_SAMPLING_GTK",""
"IFW_ALERT_DEF",""
"IFW_ALERT_MSG_TYPE_CRITERIA",""
"IFW_ALERT_RES_CODE_CRITERIA",""
"IFW_ALERT_ROUTER_CRITERIA",""
"ILM_ACTIVITY_TYPES","Table stores the Different activity types like Task Executed and Close"
"ILM_ANCHOR_TYPES","Table stores the Different Anchor types like First Pickup and Pickup All"
"ILM_APPOINTMENTS","All the Appointments created in the facility gets saved in this table"
"ILM_APPOINTMENTS_CHARGEBACK","Appointment chargeback data stores values for the appointment ID, chargeback code and appt object"
"ILM_APPOINTMENT_CREATION_TYPE","Defines the Creation type for appointments like when does the appoinment created At Dock Door after Load, Before Check In and During Check In "
"ILM_APPOINTMENT_EVENTS","for Audit Trailer data for the appointment"
"ILM_APPOINTMENT_OBJECTS","This is for storing the object information associated to an appointment like ASN/PO/Shipment"
"ILM_APPOINTMENT_STATUS","Defines the Different status for an Appointment in the Yard. "
"ILM_APPOINTMENT_TYPE","Describes the different types of an Appointment types"
"ILM_APPOINTMENT_UTILIZATION","This stores the information on the capacity for slot"
"ILM_APPT_CHARGE_BACK_CODES","Defines the different vendor and carrier codes like appt cancelled/re-scheduled requiredfor chargeback"
"ILM_APPT_CUSTOM_ATTRIBUTE","For recording the custom attributes for the appointment"
"ILM_APPT_DOCKS","All the docks information is stored"
"ILM_APPT_EQUIPMENTS","Appointment Equipment association is stored in this table"
"ILM_APPT_LOAD_CONFIG","The load configuration of an appointment determines the type of unloading that can be done for an appointment. "
"ILM_APPT_NOTES","Notes for particular appointment if any will be stored in this table"
"ILM_APPT_OBJ_TYPE",""
"ILM_APPT_SIZES","Indicates the sizes of order on the appointment"
"ILM_APPT_SLOTS","Table stores the slot in which appointment is created."
"ILM_APPT_SLOT_UTILIZATION","It indicates about the particular slot utilization time and the capacity used"
"ILM_APPT_UTIL_NEW","Utilization details of capacity will be stored here"
"ILM_DOCK_DOOR_EVENTS","All the events associated to the Dock door status gets stores in this table like first event may be dock door open and later event may be pending In-use."
"ILM_LOAD_POSITION","Finite value table describes about the position of the Load like Nose or Tail"
"ILM_REASON_CODES",""
"ILM_REQUESTOR_TYPE","Finite values showing different levels CARRIER,SHIPPER and VENDOR"
"ILM_TASKS","All the Tasks like Move,Close an Seal tasks associated with the Appointment check in and check out gets saved in this table"
"ILM_TASK_EVENTS","All the events associated to the task status gets stores in this table like first event may be task released and subsequent event may be task completed."
"ILM_TASK_HISTORY","All the Task executed in the yard gets stored in the table"
"ILM_TASK_STATUS","It shows the finite values for the different status of the tasks associated with the Trailer"
"ILM_TASK_TEMP",""
"ILM_TASK_TYPES","It shows the finite values for the different Types of the tasks like close,Seal,Move and Audit"
"ILM_TRAILER_EVENTS","All the events associated to the Equipment status gets stores in this table like first event may be Off Yard and later event may be OB On Yard."
"ILM_YARD_ACTIVITY","It indicates about the Yard Activity happens inside the yard"
"ILM_YARD_AUDIT","It captures the data on Yard Audit"
"ILS_DEBUG","* Ils Debug"
"ILS_OBJECT_TYPE",""
"ILS_PRODUCT_TYPE",""
"IMMD_NEEDS","Contains the transactional (non-template) records for the Immediate Needs functionality"
"IMMD_NEEDS_TEMPLATE","Contains the template records for the Immediate Needs functionality"
"IMPORT_ACCESSORIAL_PARAM_SET","* Import Accessorial Param Set"
"IMPORT_ACCESSORIAL_RATE","* Import Accessorial Rate"
"IMPORT_AUTOMATION","Keeps track of automation import runs for slotting optimization"
"IMPORT_CM_RATE_DISCOUNT","* Import Cm Rate Discount"
"IMPORT_COLM_LIST",""
"IMPORT_DAILY_UTILIZATION","* Import Daily Utilization"
"IMPORT_ERROR_MESSAGE",""
"IMPORT_EXCLUSIONS_CBO",""
"IMPORT_FORMATS",""
"IMPORT_FORMAT_ODBC",""
"IMPORT_FORMAT_OFFSETS",""
"IMPORT_FORMAT_PREFS",""
"IMPORT_MASTER",""
"IMPORT_OFFSET_MASTER",""
"IMPORT_STOP_OFF_CHARGE","* Import Stop Off Charge"
"IMPORT_TEMP",""
"IMPORT_TYPE_COLM_XREF",""
"IMP_DAS_RS","* Imp Das Rs"
"IMP_EXCLUDED_APS_ACC","* Imp Excluded Aps Acc"
"IMP_EXCLUDED_LANE_ACC","* Imp Excluded Lane Acc"
"INPT_ACC_ZONE","Input table for Parcel Accessorial related Zones"
"INPT_CARRIER","Staging Table for Carriers"
"INPT_CARRIER_DIM_WEIGHT","Input Table for Dimensional Weights"
"INPT_CARRIER_FACILITY","Carrier Facilities used for Parcel Tariffs"
"INPT_CARRIER_HOLIDAY","Input table for Carrier Holidays"
"INPT_CARRIER_HOLIDAY_ZONE","Input table for Carrier Holiday related Zones"
"INPT_CARRIER_LABEL","Input table for Carrier Label Data"
"INPT_CARRIER_ROUTING_CODE","Input table for Carrier Routing Codes"
"INPT_CARRIER_SERVICE","Staging Table for Service Levels"
"INPT_PACKAGE_TYPE","Input table for Package Types"
"INPT_PARCL_ADDNL_OPTN","Input table for Parcel Rate Accessorial Data"
"INPT_PARCL_ADDNL_OPTN_CMB","Input table for Parcel Rate Accessorial Relations"
"INPT_PARCL_RATE","Input table for Parcel Rates"
"INPT_PARCL_ZONE","Input table for Parcel Rate related Zones"
"INPT_PICK_DEMAND_FORECAST","The demand forecast will be provided to PkMS by the host system using a downloading interface.  Forecast data will be passed into the INPT_PICK_DEMAND_FORECAST table.  The data will contain the estima"
"INPT_SLOTINFO_MOVE_LIST","This table contains the contents of the INPT_SLOTINFO_MOVE_LIST.txt file. These are moves from one pick location to another, from a pick location to a reserve location or from reserve to a pick locati"
"INPT_SLOTINFO_WIDTH","Slot interface table"
"INPT_TRANSIT_TIME","Staging Table for Carrier Transit Times"
"INPUT_PARAM",""
"INPUT_PARAM_MAX_RESLOT",""
"INPUT_PARAM_RACKORDER",""
"INPUT_PARAM_SLOT_LIST",""
"INSTANT_REPORT_SQL",""
"INSTANT_REPORT_SQLHEADER",""
"INTERFACE_CONFIG","Configuration table that  holds information about events setup for various interfaces such as Voice,MHE etc"
"INTERFACE_ERROR","Table to record interface (like FEDEX, UPS, etc.) error details."
"INTL_LANG","Not Used."
"INTMT_AIR_CMT","Not Used."
"INTMT_AIR_CMT_RANGE","Not Used."
"INTMT_AKHI_ZONE","Not Used."
"INTMT_ORGN_ZIP","Not Used."
"INTMT_ZONE","Not Used."
"INT_ALLOC_LOCK_CODES","Defines labore rates associated with an inventory need type - Configuration table"
"INT_LABOR_RATE","Defines allocation lock codes associated with an inventory need type - Configuration table"
"INT_MASTER","Contains the list of INTs which are used in allocation and tasking"
"INT_PATH_DEFN","Defines valid path for an inventory need type - Configuration table - used to determine task eligibilty"
"INVC_PARM","Ship confirm rules configuration table"
"INVC_RULE_PARM","Ship confirm rules configuration table"
"INVENTORY_ALLOCATION",""
"INVENTORY_SEGMENT","Table to hold Inventory Segment related Information"
"INVN_ALLOC_PRTY","Table defines the sequence and attributes that the allocation process will use to determine which inventory source to allocate from. It uses Whse / Co / Div / INT / Invn Type / Allocation Type as sele"
"INVN_NEED_TYPE","Operationally, INTs corresponds to allocation or tasks (cycle count, pulling, etc.) being performed and why it is required (replenishment of active, full case pull from reserve, etc.). They determine"
"INVN_VARI_HDR","Table used to store counting variances. Used by both Physical and Cycle Count Process."
"INVN_VARI_SRL_NBR","Table used to store counting variances serial numbers. Used by both Physical and Cycle Count Process."
"INVOICE",""
"INVOICE_RESP_CODE",""
"INVOICE_TYPE",""
"INV_ENTRY_TYPE",""
"IN_YARD_EQUIP_AVAIL_CONFIG",""
"IN_YARD_EQUIP_UTILIZATION",""
"IN_YARD_EQUIP_UTIL_SHIPMENT",""
"IPS_USER_VIEW",""
"IPS_USER_VIEW_DETAIL",""
"ISSUE",""
"ISSUE_COMMENT",""
"ISSUE_STATUS",""
"ITEM_BOM_DETAIL_WMS",""
"ITEM_BOM_HEADER_WMS",""
"ITEM_BUDGETED_COST_TMS",""
"ITEM_CAT_XREF",""
"ITEM_CBO","*Common object ITEM or SKU and its details"
"ITEM_CBO_PROFILE",""
"ITEM_CLASSIFICATION_CODE","Stores Classification Code for ITEM"
"ITEM_CNTRY_CMMDTY_CODE","Item- Country - commodity code cross reference"
"ITEM_COST_CBO",""
"ITEM_EPC_PREFIX_WMS",""
"ITEM_FACILITY_MAPPING_WMS",""
"ITEM_FACILITY_SLOTTING",""
"ITEM_FAC_MAPPING_WMS_PROFILE","This table is used to define item profile information and parameters for a specific warehouse."
"ITEM_GROUP_WMS",""
"ITEM_HISTORY",""
"ITEM_MISC_INSTR","Captures to whom the notification alert email has to be sent "
"ITEM_MISC_INSTR_PROFILE","Captures to whom the notification alert email has to be sent "
"ITEM_PACKAGE_CBO",""
"ITEM_PACKAGE_CBO_PROFILE",""
"ITEM_PRICE_CBO",""
"ITEM_REF",""
"ITEM_SIZE_TMS","*Extension table for ITEM_CBO"
"ITEM_SUBSTITUTION_CBO",""
"ITEM_SUBSTITUTION_DTL_CBO",""
"ITEM_SUPPLIER_XREF_CBO",""
"ITEM_TMS",""
"ITEM_VAS_APPLICABLE","Indicates the Applicable VAS for the item"
"ITEM_VAS_APPLICABLE_PROFILE","Indicates the Applicable VAS for the item"
"ITEM_VENDOR","Item Vendor Header"
"ITEM_WMS",""
"ITEM_WMS_PROFILE",""
"JMS_DESTINATION_INFO",""
"JMS_LISTENER",""
"JMS_PROVIDER_INFO",""
"JMS_ROLES",""
"JMS_SUBSCRIPTIONS",""
"JMS_USERS",""
"JOB_CONFIG","List for scheduler jobs"
"JOB_HIST","Stores task job history information"
"JOIN_TYPE",""
"JUNITEE_RESULT","Database table containing test results of JUnit test"
"KAFKA_LISTENER","Table holds Apache Kafka listener configuration"
"KIT",""
"KIT_ITEM",""
"KPI_COMPARE",""
"LABEL",""
"LABEL_DISPLAY","Label display table, initial data in this table gets created by LABEL table's trigger"
"LABEL_SUBSTITUTIONS","Label printing substitutions can be specified here."
"LABOR_MSG",""
"LABOR_MSG_CRIT",""
"LABOR_MSG_DTL",""
"LABOR_MSG_DTL_CRIT",""
"LABOR_MSG_MONITOR","Labor Messages mapping to Matched Labor Tran"
"LABOR_MSG_TRACKING","Keeps Track of Labor Messages that getting processed by various servers"
"LABOR_PLAN_EXPORT_CONTROL","Stores Labor Plan export control information"
"LABOR_PLAN_EXPORT_HDR","Stores Labor Plan export header information"
"LABOR_PLAN_EXPORT_SUMMARY","Stores Labor Plan export summary information"
"LABOR_TRAN",""
"LABOR_TRAN_CRIT",""
"LABOR_TRAN_DTL",""
"LABOR_TRAN_DTL_CRIT",""
