"   ","TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","COLUMN_NAME","POSITION"
"2624","TMP_STOP_ACTION","PK_TMP_STOP_ACTION","P","SHIPMENT_ID","1"
"2625","TMP_STOP_ACTION","PK_TMP_STOP_ACTION","P","STOP_SEQ","2"
"2626","TMP_STOP_PRE_UNASSIGN","UK_TMP_STOP_PRE_UNASSIGN","U","SHIPMENT_ID","1"
"2627","TMP_STOP_PRE_UNASSIGN","UK_TMP_STOP_PRE_UNASSIGN","U","STOP_SEQ","2"
"2628","TMP_STORE_MASTER","SYS_C0063185","P","D_FACILITY_ID","1"
"2629","TMP_TASK_CREATION_LM_TASK_DTLS","PK_TMP_TASK_LM_TASK_DTLS","P","TASK_ID","1"
"2630","TMP_TASK_CREATION_LM_TASK_DTLS","PK_TMP_TASK_LM_TASK_DTLS","P","TASK_SEQ_NBR","2"
"2631","TMP_TASK_CREATION_SELECTED_AID","SYS_C0063178","P","ALLOC_INVN_DTL_ID","1"
"2632","TMP_TASK_CREATION_TASK_SEQ_NBR","SYS_C0063179","P","ID","1"
"2633","TMP_TASK_LPN_MIN_LOCN_SEQ","SYS_C0063181","P","CARTON_NBR","1"
"2634","TMP_UNDO_INITIATE_ORDER_DTLS","TMP_UNDO_INITIATE_ORDER_DTL_PK","P","ORDER_ID","1"
"2635","TMP_UNDO_INITIATE_ORDER_DTLS","TMP_UNDO_INITIATE_ORDER_DTL_PK","P","LINE_ITEM_ID","2"
"2636","TMP_UNLOADED_LPNS","TMP_UNLOADED_LPNS_PK","P","LPN_ID","1"
"2637","TMP_UNPLAN_SPLITS","UK_TMP_UNPLAN_SPLITS","U","ORDER_ID","1"
"2638","TMP_UNPLAN_SPLITS","UK_TMP_UNPLAN_SPLITS","U","ORDER_SPLIT_ID","2"
"2639","TMP_VARIANCE_LPNS","SYS_C0063187","P","LPN_ID","1"
"2640","TMP_WAVE_GROUP_REJECTED_ITEMS","PK_TMP_WAVE_GROUP_REJ_ITEMS","P","ITEM_ID","1"
"2641","TMP_WAVE_GROUP_REJECTED_ORDERS","PK_TMP_WAVE_GROUP_REJ_ORDERS","P","ORDER_ID","1"
"2642","TMP_WAVE_GROUP_REJECTED_SWCS","PK_TMP_WAVE_GROUP_REJ_SWCS","P","SHIP_GROUP_ID","1"
"2643","TMP_WAVE_OLD_ORDER_STATUS","SYS_C0062872","P","ORDER_ID","1"
"2644","TMP_WAVE_PREPACK_COMPONENTS","PK_TMP_WAVE_SEL_PPACKS","P","ORDER_ID","1"
"2645","TMP_WAVE_PREPACK_COMPONENTS","PK_TMP_WAVE_SEL_PPACKS","P","LINE_ITEM_ID","2"
"2646","TMP_WAVE_PREPACK_COMPONENTS","PK_TMP_WAVE_SEL_PPACKS","P","SEQ_NBR","3"
"2647","TMP_WAVE_REJECTED_LINES","PK_TMP_WAVE_SEL_REJ_LINES","P","ORDER_ID","1"
"2648","TMP_WAVE_REJECTED_LINES","PK_TMP_WAVE_SEL_REJ_LINES","P","LINE_ITEM_ID","2"
"2649","TMP_WAVE_SELECTED_ORDERS","PK_TMP_WAVE_SEL_ORDERS","P","ORDER_ID","1"
"2650","TMP_WAVE_SELECTED_ORDERS","PK_TMP_WAVE_SEL_ORDERS","P","LINE_ITEM_ID","2"
"2651","TMP_WAVE_TE_SELECTED_SHPMTS","TMP_WAVE_TE_SELECTED_SHPMTS_PK","P","ORDER_SPLIT_ID","1"
"2652","TPE_RULE_DTL","TPE_RULE_DTL_PK","P","TPE_RULE_SET_ID","1"
"2653","TPE_RULE_DTL","TPE_RULE_DTL_PK","P","TPE_RULE_ID","2"
"2654","TPE_RULE_DTL","TPE_RULE_DTL_PK","P","TPE_RULE_DTL_ID","3"
"2655","TPM_CONFIGURATION","TPM_CONFIG_PK","P","MODULE","1"
"2656","TPM_CONFIGURATION","TPM_CONFIG_PK","P","PROCESS","2"
"2657","TPM_CONFIGURATION","TPM_CONFIG_PK","P","RULE","3"
"2658","TPM_CONFIGURATION_DETAIL","TPM_CONFIG_DTL_PK","P","RULE","1"
"2659","TPM_CONFIGURATION_DETAIL","TPM_CONFIG_DTL_PK","P","OBJECT","2"
"2660","TPM_CONFIGURATION_DETAIL","TPM_CONFIG_DTL_PK","P","PARAMETER","3"
"2661","TRACKING_MESSAGE","TRACKING_MESSAGE_PK1","P","TRACKING_MSG_ID","1"
"2662","TRACKING_VENDORS","EXT_TRACKING_VENDOR_PK","P","VENDOR_ID","1"
"2663","TRAILER_CONTENTS","PK_TRLR_CNTNTS_TRLR_CNTNTS_ID","P","TRAILER_CONTENTS_ID","1"
"2664","TRAILER_REF","PK_TRAILER_REF_TRAILER_ID","P","TRAILER_ID","1"
"2665","TRAILER_VISIT","PK_TRAILER_VISIT","P","VISIT_ID","1"
"2666","TRAILER_VISIT_DETAIL","PK_TLR_VST_DTL_VISIT_DETAIL_ID","P","VISIT_DETAIL_ID","1"
"2667","TRANSPORT_ENV","PK_TRANSPORT_ENV","P","TRANSPORT_ENV_ID","1"
"2668","TRANSPORT_SET","PK_TRANSPORT_SET","P","TRANSPORT_SET_ID","1"
"2669","TRANSPORT_TABLE","PK_TRANSPORT_TABLE","P","TRANSPORT_TABLE_ID","1"
"2670","TRANS_ITEM","PK_TRANS_ITEM","P","SKU_ID","1"
"2671","TRANS_QUERY","PK_TRANS_QUERY","P","TRANS_QUERY_ID","1"
"2672","TRANS_QUERY","UK_TRANS_QUERY","U","TRAN_ID","1"
"2673","TRANS_RESP_CODE","TRANS_RCODE_PK","P","TRANS_RESP_CODE","1"
"2674","TRANS_SLOT","PK_TRANS_SLOT","P","SLOT_ID","1"
"2675","TRANS_SLOT_ITEM","PK_TRANS_SLOT_ITEM","P","SLOTITEM_ID","1"
"2676","TRAN_LOG_RULE","TRAN_LOG_RULE_PK","P","RULE_NAME","1"
"2677","TRAN_LOG_RULE","TRAN_LOG_RULE_PK","P","RULE_SEQ","2"
"2678","TRAN_MASTER","PK_TRAN_MASTER","P","TRAN_MASTER_ID","1"
"2679","TRAN_MASTER","UK_TRAN_MASTER","U","TRAN_ID","1"
"2680","TRAN_MASTER_PARM","PKTRAN_MASTER_PARM","P","TRAN_MASTER_PARM_ID","1"
"2681","TRAN_PARM","PK_TRAN_PARM","P","TRAN_PARM_ID","1"
"2682","TRAN_PARM","UK_TRAN_PARM","U","PGM_ID","1"
"2683","TRAN_PARM","UK_TRAN_PARM","U","FROM_POSN","2"
"2684","TRAN_ROLE","PK_TRAN_ROLE","P","TRAN_ROLE_ID","1"
"2685","TRAN_ROLE","UK_TRAN_ROLE","U","TRAN_ID","1"
"2686","TRAN_ROLE","UK_TRAN_ROLE","U","ROLE_ID","2"
"2687","TRAVEL_AISLE_CONFIG","PK_TRAVEL_AISLE_CONFIG","P","TRAVEL_AISLE_CONFIG_ID","1"
"2688","TRAVEL_PLAN_ACTIVITY_TYPE","TRAVEL_PLAN_PK","P","TRAVEL_PLAN_ACTIVITY_TYPE_ID","1"
"2689","TREE_DTL","PK_TREE_DTL","P","NODE_ID","1"
"2690","TT_TBLOUTPUT","TT_TBLOUTPUT_PK","P","COLOR_ID","1"
"2691","TT_TBLOUTPUT2","PK_TT_TBLOUTPUT2","P","COLOR_ID","1"
"2692","TXN_MASTER","PK_TXN_MASTER","P","TXN_ID","1"
"2693","T_SYS_QUEUEERROR","PK_GUID","P","GUID","1"
"2694","T_SYS_QUEUEERROR","UQ_T_SYS_QUEUEERROR","U","MSG_ID","1"
"2695","T_SYS_QUEUEERROR","UQ_T_SYS_QUEUEERROR","U","MSG_TYPE","2"
"2696","UI_CONTROL_TYPE","UI_CONT_TYPE_PK","P","CONTROL_TYPE_ID","1"
"2697","UI_CU_DATA_TYPE","UI_CU_DATA_TYPE_PK","P","DATA_TYPE_ID","1"
"2698","UI_CU_OBJECT_TYPE","UI_CU_OBJECT_TYPE_PK","P","OBJECT_TYPE_ID","1"
"2699","UI_CU_PARM_DEF","UI_CU_PAR_DEF_PK","P","PARAM_DEF_ID","1"
"2700","UI_CU_PARM_GROUP","UI_CU_PARM_GRP_PK","P","PARAM_GROUP_ID","1"
"2701","UI_CU_PARM_SUBGRP","UI_CU_PAR_SUBGRP_PK","P","PARAM_SUBGROUP_ID","1"
"2702","UI_CU_PRODUCT","UI_CU_PROD_PK","P","PRODUCT_ID","1"
"2703","UI_CU_UIBEHARTYPE","UI_CU_UIBEH_PK","P","UI_BEHAVIOR_TYPE_ID","1"
"2704","UI_CU_USER_PARAM","UI_CU_USER_PARAM_PK","P","USER_PARAM_ID","1"
"2705","UI_CU_USER_PARVAL","UI_CU_USER_PARVAL_PK","P","USER_PARAM_VAL_ID","1"
"2706","UI_ELEMENT_TYPE","PK_UI_ELEMENT_TYPE","P","UI_ELEMENT_TYPE_ID","1"
