???"TABLE_NAME","INDEX_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","WHSE","11"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","STAT_CODE","12"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","INVN_NEED_TYPE","13"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","QTY_ALLOC","14"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","QTY_PULLD","15"
"ALLOC_INVN_DTL","ALOCINVNDTL_CDMASTERID_IDX","NONUNIQUE","CD_MASTER_ID","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_CNTRNBR_IDX","NONUNIQUE","CNTR_NBR","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_CRTNBRSEQNBR_IDX","NONUNIQUE","CARTON_NBR","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_CRTNBRSEQNBR_IDX","NONUNIQUE","CARTON_SEQ_NBR","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_CRTNNBR_IDX","NONUNIQUE","CARTON_NBR","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_DESTLOCNID_IDX","NONUNIQUE","DEST_LOCN_ID","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_INEEDTASKSTAT_IDX","NONUNIQUE","INVN_NEED_TYPE","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_INEEDTASKSTAT_IDX","NONUNIQUE","CREATE_DATE_TIME","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_INEEDTASKSTAT_IDX","NONUNIQUE","TASK_PRTY","3"
"ALLOC_INVN_DTL","ALOCINVNDTL_INEEDTASKSTAT_IDX","NONUNIQUE","STAT_CODE","4"
"ALLOC_INVN_DTL","ALOCINVNDTL_ITEMIDSTATCODE_IDX","NONUNIQUE","ITEM_ID","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_ITEMIDSTATCODE_IDX","NONUNIQUE","STAT_CODE","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_ITEMID_IDX","NONUNIQUE","ITEM_ID","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_MODDATETIME_IDX","NONUNIQUE","MOD_DATE_TIME","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_NEEDSTATWHSE_IDX","NONUNIQUE","NEED_ID","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_NEEDSTATWHSE_IDX","NONUNIQUE","STAT_CODE","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_NEEDSTATWHSE_IDX","NONUNIQUE","INVN_NEED_TYPE","3"
"ALLOC_INVN_DTL","ALOCINVNDTL_NEEDSTATWHSE_IDX","NONUNIQUE","WHSE","4"
"ALLOC_INVN_DTL","ALOCINVNDTL_PKTNBRSTATCODE_IDX","NONUNIQUE","PKT_CTRL_NBR","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_PKTNBRSTATCODE_IDX","NONUNIQUE","STAT_CODE","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDCRTNBR_IDX","NONUNIQUE","STAT_CODE","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDCRTNBR_IDX","NONUNIQUE","CARTON_NBR","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDINVNCNTR_IDX","NONUNIQUE","CNTR_NBR","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDINVNCNTR_IDX","NONUNIQUE","STAT_CODE","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDINVNCNTR_IDX","NONUNIQUE","INVN_NEED_TYPE","3"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDINVNCNTR_IDX","NONUNIQUE","QTY_ALLOC","4"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDINVNCNTR_IDX","NONUNIQUE","QTY_PULLD","5"
"ALLOC_INVN_DTL","ALOCINVNDTL_STATCDINVNCNTR_IDX","NONUNIQUE","WHSE","6"
"ALLOC_INVN_DTL","ALOCINVNDTL_TASKCODENBR_IDX","NONUNIQUE","TASK_CMPL_REF_CODE","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_TASKCODENBR_IDX","NONUNIQUE","TASK_CMPL_REF_NBR","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_TOTENBR_IDX","NONUNIQUE","TOTE_NBR","1"
"ALLOC_INVN_DTL","ALOCINVNDTL_TOTENBR_IDX","NONUNIQUE","STAT_CODE","2"
"ALLOC_INVN_DTL","ALOCINVNDTL_TSKGENBRCODE_IDX","NONUNIQUE","TASK_GENRTN_REF_NBR","1"
